Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Suitland,PM Peak (3pm-7pm),2023,0.09K,0K,88,154
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Minnesota Ave,PM Peak (3pm-7pm),2023,0.12K,0K,123,87
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Branch Ave,PM Peak (3pm-7pm),2023,0.07K,0K,73,237
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Deanwood,PM Peak (3pm-7pm),2023,0.07K,0K,65,55
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Benning Road,PM Peak (3pm-7pm),2023,0.10K,0K,97,160
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Cheverly,PM Peak (3pm-7pm),2023,0.02K,0K,17,31
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Capitol Heights,PM Peak (3pm-7pm),2023,0.06K,0K,56,116
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Landover,PM Peak (3pm-7pm),2023,0.03K,0K,27,86
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,New Carrollton,PM Peak (3pm-7pm),2023,0.14K,0K,142,226
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Addison Road,PM Peak (3pm-7pm),2023,0.07K,0K,71,144
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Morgan Boulevard,PM Peak (3pm-7pm),2023,0.05K,0K,53,71
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Downtown Largo,PM Peak (3pm-7pm),2023,0.08K,0K,77,176
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ashburn,PM Peak (3pm-7pm),2023,0.05K,0K,53,157
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Loudoun Gateway,PM Peak (3pm-7pm),2023,0.02K,0K,18,42
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dulles Airport,PM Peak (3pm-7pm),2023,0.34K,0K,339,112
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Innovation Center,PM Peak (3pm-7pm),2023,0.05K,0K,53,70
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Herndon,PM Peak (3pm-7pm),2023,0.06K,0K,57,117
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Reston Town Center,PM Peak (3pm-7pm),2023,0.11K,0K,105,73
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Vienna,PM Peak (3pm-7pm),2023,0.24K,1K,240,544
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Wiehle-Reston East,PM Peak (3pm-7pm),2023,0.12K,0K,123,218
